,primary,am,ur,psych,infreq,freq_no_cst,freq_cst,rm,sex,age,iter_num
0,0.0004939211378972184,8.30793483012483e-06,6.151475752753099e-05,0.04174885310752734,0.022104838538568893,0.012788865437803736,0.00015209968605251593,3.701852487167911e-07,male,21,0
0,0.0004939211378972184,8.30793483012483e-06,6.093432992752758e-05,0.04124866887717617,0.021955883896182044,0.012606760552854005,0.00015161246617410474,3.6513237327257035e-07,male,27,0
0,0.00048267130720758543,8.118708548744548e-06,5.990785942177167e-05,0.040677969675779774,0.021579259353279222,0.012402231560238912,0.0001485326126710546,3.61578679424846e-07,male,32,0
0,0.0004666001205081097,7.848385289629855e-06,5.770070550392872e-05,0.039176066822840125,0.02083199668522752,0.011896808319562958,0.00014346471079092397,3.492741950126245e-07,male,42,0
0,0.0004858862647020793,1.4589401486724546e-05,0.0002859386731972046,0.03153712219576764,0.012898584679010082,0.012856186855910744,0.00016454608493204846,1.1790815801467762e-05,female,21,0
0,0.0004858862647020793,1.4589401486724546e-05,0.0002835962241169482,0.03129427259681787,0.01286072634546677,0.012678359970412814,0.00016401553500901503,1.1631316100786635e-05,female,27,0
0,0.0004748194408856546,1.4257104923577892e-05,0.0002783906993422731,0.030736554407799956,0.012598765394653386,0.012473922129056077,0.0001607179606349994,1.1518105761689425e-05,female,32,0
0,0.0004590096925764763,1.3782395547654097e-05,0.00026825181995262696,0.029631397291355603,0.01216972345565899,0.011988005552797915,0.00015523981771465285,1.112724108461498e-05,female,42,0
0,0.0010045867209522263,6.015329690418945e-06,0.00019616185486929155,-4.044980778495754e-05,0.021939938091070255,0.015655699771476437,0.0001922030318018449,3.571223345290316e-06,male,21,1
0,0.0010045867209522263,6.015329690418945e-06,0.0001943554763135801,3.6070141921228376e-05,0.021812515225089774,0.015433454969939643,0.00019158364116987284,3.5505139128929648e-06,male,27,1
0,0.0009817056785010366,5.878321096602461e-06,0.0001909934684697273,-1.7116831011450588e-05,0.021420561690175727,0.015183069498269646,0.00018769513644229855,3.4882209677298564e-06,male,32,1
0,0.0009490184749993374,5.682594534007485e-06,0.00018392634181301756,9.880433295339692e-06,0.02068249926172369,0.01456527670819146,0.0001812905844476994,3.369888128699951e-06,male,42,1
0,0.0009937653211684106,1.575693597452402e-05,0.0005128926393768345,0.0009583487188521764,0.012773146366621113,0.01601561527078331,0.00019780526099306614,2.153359299296444e-05,female,21,1
0,0.0009937653211684106,1.575693597452402e-05,0.0005084143311301208,0.0010088612514897646,0.012738702946226647,0.015793667171142306,0.0001971894356281837,2.1411391097728397e-05,female,27,1
0,0.0009711307531157678,1.539804697727347e-05,0.0004991601310368379,0.0009544868255143948,0.012476457688938302,0.015539008589509561,0.00019320491907780373,2.10362894529108e-05,female,32,1
0,0.0009387956558977068,1.488534840977269e-05,0.00048083899977945197,0.0009403089229028968,0.012051901422569776,0.014933287429294843,0.00018662175471728196,2.0323676888523214e-05,female,42,1
0,0.0006655429712727287,1.5185723714901428e-06,7.087286805665705e-05,0.015366658452576457,0.013944851341910074,0.011537991352061188,0.00014819967468517164,1.0150230736116636e-05,male,21,2
0,0.0006655429712727287,1.5185723714901428e-06,7.011169674710189e-05,0.015182409013469034,0.013841913360674368,0.011365205527355319,0.00014745565541824223,1.010343080613677e-05,male,27,2
