,psych,recur,ur,primary,am,sex,age,iter_num
0,0.012072858917914531,0.0034170762959367714,2.6079232029952417e-05,0.0007477466620165733,9.281095701130746e-06,male,21,0
0,0.01206865738500014,0.003415960731292445,2.6072640974552336e-05,0.0007477466620165733,9.281095701130746e-06,male,27,0
0,0.011791034121147233,0.0033374100417690004,2.5474383208760372e-05,0.0007307155558318141,9.069704150454232e-06,male,32,0
0,0.011390834926863823,0.0032243053646240976,2.4614474405867202e-05,0.0007063854041393007,8.767716220916355e-06,male,42,0
0,0.01870295389158428,0.010424195436414957,6.747917302376207e-05,0.0007477466620165733,9.281095701130746e-06,female,21,0
0,0.01854486541522616,0.010367708759906532,6.714543457469305e-05,0.0007477466620165733,9.281095701130746e-06,female,27,0
0,0.018261519566646525,0.010180079914748725,6.590271378259266e-05,0.0007307155558318141,9.069704150454232e-06,female,32,0
0,0.0176287049418402,0.009830424644281566,6.36452005706322e-05,0.0007063854041393007,8.767716220916355e-06,female,42,0
0,0.0017203132670154122,0.0020841289233303776,4.719391495671574e-05,0.001720553124881567,1.242611595852294e-05,male,21,1
0,0.0017211063369795623,0.0020834938454690464,4.718496391811045e-05,0.001720553124881567,1.242611595852294e-05,male,27,1
0,0.0016824227439024664,0.002035611892769499,4.610423238973594e-05,0.0016813648216033534,1.2143091625411247e-05,male,32,1
0,0.0016278389621263106,0.0019667094041531277,4.4553287250321475e-05,0.0016253815312059052,1.1738771149537396e-05,male,42,1
0,0.00046883451147157126,0.006785709938733168,0.00011345985766568305,0.001720553124881567,1.242611595852294e-05,female,21,1
0,0.0004986748637507154,0.006750167692664097,0.00011295891118958384,0.001720553124881567,1.242611595852294e-05,female,27,1
0,0.0004610714502548675,0.006626897278837342,0.00011081562486749064,0.0016813648216033534,1.2143091625411247e-05,female,32,1
0,0.0004503955266115464,0.006399438247945997,0.0001070299210985633,0.0016253815312059052,1.1738771149537396e-05,female,42,1
0,0.0034643737875459987,0.001645552557511518,9.604036598022293e-06,0.0014705747536443393,5.635221325448504e-06,male,21,2
0,0.0034638620310198463,0.0016452519264242643,9.602966702110265e-06,0.0014705747536443393,5.635221325448504e-06,male,27,2
0,0.003384592050408172,0.0016075583885586226,9.38345988767765e-06,0.0014370801009040669,5.5068702974285266e-06,male,32,2
0,0.003271051495859643,0.0015535355788753131,9.069256289793486e-06,0.0013892305969893921,5.323511685971416e-06,male,42,2
0,0.0070787883206005495,0.006465093052389735,2.6755977604620544e-05,0.0014705747536443393,5.635221325448504e-06,female,21,2
0,0.007022143365464543,0.006431716487338129,2.6637195974841436e-05,0.0014705747536443393,5.635221325448504e-06,female,27,2
0,0.0069120236104598075,0.006313798976997655,2.6132185418990823e-05,0.0014370801009040669,5.5068702974285266e-06,female,32,2
0,0.006673002116779302,0.006097111351763806,2.5239084865445224e-05,0.0013892305969893921,5.323511685971416e-06,female,42,2
0,0.004899196974458769,0.0018526427842100084,1.8697050417209593e-05,0.0017171670764853841,3.777535586166948e-05,male,21,3
0,0.0048985469852798145,0.0018523041193616245,1.869491967531047e-05,0.0017171670764853841,3.777535586166948e-05,male,27,3
0,0.004786498485411534,0.0018098667665656485,1.826755182062516e-05,0.0016780558957845244,3.691496272382234e-05,male,32,3
0,0.004626051055034213,0.0017490449514713864,1.765578671009769e-05,0.001622182780497581,3.5685829669755005e-05,male,42,3
0,0.009489915831349297,0.006996839603839172,5.106225086015407e-05,0.0017171670764853841,3.777535586166948e-05,female,21,3
0,0.009417970275212208,0.006961659705484254,5.0840913204978306e-05,0.0017171670764853841,3.777535586166948e-05,female,27,3
0,0.009266739041946338,0.00683315456723179,4.9872041744258664e-05,0.0016780558957845244,3.691496272382234e-05,female,32,3
0,0.008946916501662443,0.0065987286175113544,4.816802981427434e-05,0.001622182780497581,3.5685829669755005e-05,female,42,3
0,0.004767871174377681,0.0016225449778904846,5.948108013217949e-05,0.0014078283243476406,2.7798404552109152e-05,male,21,4
0,0.00476649250403308,0.0016220487097093664,5.947228278456881e-05,0.0014078283243476406,2.7798404552109152e-05,male,27,4
0,0.004657028850228695,0.0015847705235279984,5.8111796486127845e-05,0.0013757628202139094,2.716525217077044e-05,male,32,4
0,0.00449947271000584,0.0015311245578180583,5.616130603360581e-05,0.0013299549571657212,2.6260748768857992e-05,male,42,4
0,0.006943437927829222,0.005653181741053358,0.00013093219073543276,0.0014078283243476406,2.7798404552109152e-05,female,21,4
0,0.006891563552781138,0.00562057584131357,0.00013035418584798715,0.0014078283243476406,2.7798404552109152e-05,female,27,4
0,0.006780222118171996,0.005520639466215917,0.0001278829576371582,0.0013757628202139094,2.716525217077044e-05,female,32,4
0,0.006546336694734462,0.005330772031083069,0.00012351766876687046,0.0013299549571657212,2.6260748768857992e-05,female,42,4
0,0.014807696324917899,0.0014359910505576039,2.4364002064986212e-05,0.0005187169671592908,8.014288623768502e-06,male,21,5
0,0.014802227647063671,0.001435554116218043,2.435825200707466e-05,0.0005187169671592908,8.014288623768502e-06,male,27,5
0,0.014461516477326561,0.0014025641816642555,2.379959952493183e-05,0.000506902372462604,7.83175059654601e-06,male,32,5
0,0.013970107624452804,0.001355088800195511,2.2996959298334367e-05,0.0004900243800387659,7.570981986228161e-06,male,42,5
0,0.023437368945049785,0.004631006564420981,6.641042087352837e-05,0.0005187169671592908,8.014288623768502e-06,female,21,5
0,0.02323160239096512,0.004604872497988976,6.606649643948338e-05,0.0005187169671592908,8.014288623768502e-06,female,27,5
0,0.02288344275586986,0.004522490708650913,6.485784692196492e-05,0.000506902372462604,7.83175059654601e-06,female,32,5
0,0.022089263728545243,0.004367049521387078,6.263437619618378e-05,0.0004900243800387659,7.570981986228161e-06,female,42,5
0,0.0044964927579202235,0.003457267639994177,1.649733057512925e-05,0.0010381982422407465,4.522634676019371e-06,male,21,6
0,0.004495751992099904,0.0034562022813314757,1.6493974364448645e-05,0.0010381982422407465,4.522634676019371e-06,male,27,6
0,0.0043928709770727995,0.0033767656280758477,1.6116041872157186e-05,0.0010145516445324429,4.41962455866969e-06,male,32,6
0,0.004245264352106127,0.0032624455339291484,1.557349469419141e-05,0.000980770790663438,4.272467248170144e-06,male,42,6
0,0.005665434627954669,0.011701085091821741,4.246791602155223e-05,0.0010381982422407465,4.522634676019371e-06,female,21,6
0,0.005637562291296017,0.011637390431146095,4.226725805729914e-05,0.0010381982422407465,4.522634676019371e-06,female,27,6
0,0.005533672336137818,0.011427050967259824,4.1476941054005873e-05,0.0010145516445324429,4.41962455866969e-06,female,32,6
